Bus_ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude,Cost,Quality,Food_Type_1,Food_Type_2,Food_Type_3
183,Mings,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156,3,3,Oriental,,
184,Mitchells,107 Waterside Road,Glasgow,G76 9DU,-4.23462,55.79159,4,4,Scottish,Seafood,
185,Mother India,28 Westminster Terrace,Glasgow,G3 7RU,-4.283345,55.865256,2,3,Indian,,
186,Mr India,11 Hyndland Street,Glasgow,G11 5QE,-4.30288,55.871255,2,3,Indian,,
187,Mr Singh's India,149 Elderslie Street,Glasgow,G3 7AW,-4.276005,55.865724,3,3,Scottish,Indian,
188,Mussel Inn,157 Hope Street,Glasgow,G2 2UQ,-4.258531,55.862334,2,2,Seafood,,
189,N Y Slice,369 Sauchiehall Street,Glasgow,G2 3HU,-4.267293,55.865696,2,2,American,Pizza,
190,Nachos Mexican Restaurant,15 Skirving Street,Glasgow,G41 3AB,-4.280532,55.829798,2,2,Exotic,,
191,Nanakusa,441 Sauchiehall Street,Glasgow,G2 3LG,-4.269064,55.865924,4,3,Oriental,,
192,Nandos,763 Barrhead Road,Glasgow,,-4.242509842,55.85779953,3,2,European,,
193,Nando's,53 St Enoch Square,Glasgow,G1 4DH,-4.255956,55.857349,3,2,European,,
194,Nando's,263 Sauchiehall Street,Glasgow,G2 3EZ,-4.262562,55.865145,3,2,European,,
195,Nando's,3 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,3,2,European,,
196,Nando's Chickenland Ltd,725 Provan Walk,Glasgow,G34 9DY,-4.138074,55.871218,3,2,European,,
197,Nardini's,215 Byres Road,Glasgow,G12 8UD,-4.294404,55.87499,3,3,Italian,,
198,Neelim,1590 Dumbarton Road,Glasgow,G14 9DB,-4.352911,55.880194,1,2,Indian,,
199,New Anand Restaurant,76 Nithsdale Road,Glasgow,G41 2AN,-4.271241,55.836953,2,3,Oriental,,
200,New City Palace,92 Sauchiehall Street,Glasgow,G2 3DE,-4.256359,55.864846,2,3,Oriental,,
201,New Pearl Of India,1019 Cathcart Road,Glasgow,G42 9XJ,-4.259091,55.827659,3,3,Indian,,
202,Nick's Italian Kitchen Bar and Grill3,168 Hyndland Road,Glasgow,G12 9HZ,-4.306379,55.876348,3,3,Italian,,
203,Nippon Kitchen,91 West George Street,Glasgow,G2 1PB,-4.255654,55.862055,4,4,Oriental,,
204,No16,16 Byres Road,Glasgow,G11 5JY,-4.298849,55.870674,4,3,Scottish,,
205,Nur Restaurant,22 Bridge Street,Glasgow,G5 9HR,-4.25881,55.853935,4,4,Exotic,,
206,O Sole Mio,36 Bath Street,Glasgow,G2 1HE,-4.259844,55.861438,3,4,Italian,Pizza,
207,Oko Express,80 Queen Street,Glasgow,G1 3DN,-4.25159,55.859487,2,3,Oriental,Seafood,
208,Old Salty's,1126 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138,3,3,Chip Shop,,
209,One Ten Bar And Grill/Marks Hotel Kitchen,114 Bath Street,Glasgow,G2 2EN,-4.258163,55.864264,4,3,Scottish,,
210,One Up/29@Royal Exchange Square,29 Royal Exchange Square,Glasgow,G1 3AJ,-4.252971,55.859875,2,2,Pub/Bar,American,
211,Opium,191 Hope Street,Glasgow,G2 2UL,-4.258109,55.863061,3,3,Oriental,,
212,Oran-Mor,731 Great Western Road,Glasgow,G12 8QX,-4.289157,55.87738,4,3,Pub/Bar,Scottish,
213,Oriental West,609 Great Western Road,Glasgow,G12 8HX,-4.285399,55.876263,2,2,Oriental,Fast Food,
214,Orion Way,3 Drumhead Place,Glasgow,G32 8EY,-4.174951,55.832052,2,2,Pub/Bar,,
215,Pancho Villa's,26 Bell Street,Glasgow,G1 1LG,-4.245398,55.857964,3,3,Vegetarian/Vegan,Exotic,Pub/Bar
216,Panda,3 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,2,2,Oriental,,
217,Panevino,1075 Argyle Street,Glasgow,G3 8LZ,-4.2832,55.864144,3,3,Italian,,
218,Papa Tony's,4 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,4,4,Italian,,
219,Paradise (Persian) Restaurant,411 Great Western Road,Glasgow,G4 9JA,-4.278692,55.874221,3,3,Exotic,,
220,Pelican Bar-Bistro,1377 Argyle Street,Glasgow,G3 8AF,-4.29177,55.867723,3,4,Scottish,Seafood,
221,Piazza Italia,15 John Street,Glasgow,G1 1HP,-4.248133,55.860233,3,3,Italian,Pizza,
222,Piccolo Mondo,344 Argyle Street,Glasgow,G2 8LY,-4.261711,55.859031,4,4,Scottish,,
223,Pinto,140 Queen Street,Glasgow,G1 3BX,-4.251413,55.860299,3,3,Exotic,,
224,Pizza Express,20 Provan Walk,Glasgow,G34 9DL,-4.136909,55.872982,2,2,Pizza,,
225,Pizza Express,151 Queen Street,Glasgow,G1 3BJ,-4.252121,55.860663,2,2,Pizza,,
226,Pizza Express,436 Sauchiehall Street,Glasgow,G2 3JD,-4.26621,55.86604,2,2,Pizza,,
227,Pizza Express,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156,2,2,Pizza,,
228,Pizza Hut,380 Helen Street,Glasgow,G51 3AD,-4.319128,55.853684,2,2,Pizza,,
229,Pizza Hut,881 Gallowgate,Glasgow,G31 4BW,-4.212689,55.85489,2,2,Pizza,,
230,Pizza Hut,2 Allerdyce Court,Glasgow,G15 6SA,-4.376618,55.902864,2,2,Pizza,,
231,Pizza Hut,735 Provan Walk,Glasgow,G34 9DY,-4.138074,55.871218,2,2,Pizza,,
232,Pizza Hut,85 West George Street,Glasgow,G2 1QG,-4.254805,55.862016,2,2,Pizza,,
233,Pizza Hut,763 Barrhead Road,Glasgow,G53 6AG,-4.342073,55.822898,2,2,Pizza,,
234,Pizza Hut (uk) Ltd,203 Argyle Street,Glasgow,G2 8BU,-4.256445,55.858068,2,2,Pizza,,
235,Prezzo,35 St Vincent Place,Glasgow,G1 2ER,-4.25373,55.86085,2,3,Italian,,
236,Prezzo,30 Provan Walk,Glasgow,G34 9DL,-4.136909,55.872982,3,3,Italian,,
237,Prezzo,763 Barrhead Road,Glasgow,G53 6AG,-4.342073,55.822898,3,3,Italian,,
238,Pulcinella,167 Hope Street,Glasgow,G2 2UQ,-4.258531,55.862334,3,3,Italian,,
239,Qua,68 Ingram Street,Glasgow,G1 1EX,-4.243602,55.859525,3,3,Italian,Pizza,
240,Rawalpindi,321 Sauchiehall Street,Glasgow,G2 3HW,-4.265169,55.865457,2,2,Indian,,
241,Red Onion,257 West Campbell Street,Glasgow,G2 4SQ,-4.261148,55.864192,3,3,Scottish,,
242,Restaurant Bar And Grill,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156,5,5,Scottish,,
243,Rhubarb,122 Nithsdale Road,Glasgow,G41 5RB,-4.275057,55.83913,3,4,Scottish,,
244,Rishi's Indian Aroma,61 Bath Street,Glasgow,G2 2DG,-4.256948,55.863694,2,2,Indian,,
245,Roastit Bubbly Jock,450 Dumbarton Road,Glasgow,G11 6SE,-4.311576,55.870984,3,3,Scottish,,
246,Rock Lobster,35 Virginia Street,Glasgow,G1 1TN,-4.250545,55.858544,2,3,Italian,Seafood,
247,Roma Restaurant,46 Bath Street,Glasgow,,-4.25574678,55.86376405,3,2,Italian,,
